Step            Neutral         Anion0          Anion1         
-1.00           11.966          14.118          16.315         
-0.95           10.170          11.797          13.965         
-0.90           8.608           9.800           11.938         
-0.85           7.252           8.083           10.192         
-0.80           6.075           6.611           8.690          
-0.75           5.057           5.350           7.400          
-0.70           4.177           4.273           6.294          
-0.65           3.419           3.358           5.349          
-0.60           2.769           2.583           4.545          
-0.55           2.215           1.931           3.863          
-0.50           1.744           1.386           3.288          
-0.45           1.347           0.934           2.808          
-0.40           1.016           0.565           2.409          
-0.35           0.743           0.269           2.083          
-0.30           0.522           0.035           1.820          
-0.25           0.347           -0.143          1.613          
-0.20           0.213           -0.272          1.454          
-0.15           0.115           -0.358          1.339          
-0.10           0.049           -0.406          1.261          
-0.05           0.012           -0.421          1.217          
0.00            0.000           -0.407          1.201          
0.05            0.011           -0.368          1.212          
0.10            0.042           -0.305          1.244          
0.15            0.091           -0.224          1.297          
0.20            0.156           -0.124          1.367          
0.25            0.236           -0.010          1.451          
0.30            0.328           0.117           1.549          
0.35            0.432           0.256           1.659          
0.40            0.545           0.406           1.778          
0.45            0.668           0.564           1.906          
0.50            0.799           0.730           2.042          
0.55            0.937           0.903           2.183          
0.60            1.082           1.081           2.329          
0.65            1.232           1.264           2.479          
0.70            1.387           1.452           2.629          
0.75            1.547           1.644           2.775          
0.80            1.711           1.838           2.910          
0.85            1.878           2.036           3.017          
0.90            2.049           2.235           3.094          
0.95            2.223           2.437           3.155          
1.00            2.399           2.640           3.211          
