Step            Neutral         Anion0          Anion1
-1.00           4.118           2.383           2.169
-0.90           3.431           1.956           1.647
-0.80           2.789           1.595           1.167
-0.70           2.198           1.305           0.733
-0.60           1.664           1.087           0.348
-0.50           1.191           0.944           0.018
-0.40           0.787           0.878           -0.252
-0.30           0.457           0.891           -0.457
-0.20           0.211           -0.368          0.756
-0.10           0.055           -0.432          0.937
0.00            0.000           -0.407          1.201
0.10            0.059           -0.277          1.545
0.20            0.247           -0.023          1.969
0.30            0.583           0.381           2.491
0.40            1.088           0.965           3.148
0.50            1.791           1.770           3.990
0.60            2.723           2.846           5.073
0.70            3.924           4.254           6.459
0.80            5.439           6.073           8.222
0.90            7.322           8.399           10.451
1.00            9.634           11.354          13.264
