Step            Neutral         Anion0          Anion1         
-1.00           4.249           5.340           6.844          
-0.90           3.522           4.288           6.262          
-0.80           2.849           3.338           5.503          
-0.70           2.234           2.491           4.658          
-0.60           1.682           1.751           3.904          
-0.50           1.197           1.117           3.236          
-0.40           0.786           0.591           2.651          
-0.30           0.454           0.173           2.150          
-0.20           0.207           -0.134          1.737          
-0.10           0.053           -0.329          1.418          
0.00            0.000           -0.407          1.201          
0.10            0.057           -0.364          1.099          
0.20            0.233           -0.195          1.121          
0.30            0.540           0.109           1.281          
0.40            0.989           0.552           1.591          
0.50            1.593           1.139           2.063          
0.60            2.365           1.871           2.709          
0.70            3.317           2.748           3.539          
0.80            4.460           3.760           4.560          
0.90            5.807           4.896           5.772          
1.00            7.363           6.141           7.163          
